date,secchi_m,chla,TP,Perception
2010-05-31,0.9,,,5
2010-07-03,1.2,15.6,34,2
2010-09-05,1,,44,3
2011-06-24,1.1,,,2
2011-06-25,,14.4,33,
2011-07-02,1.2,,,2
2011-07-20,1.5,,,2
2011-08-11,1.1,,,2
2012-07-05,1.8,,,1
2012-07-06,,5.06,21,
2013-05-25,,,33.6,
2013-06-08,1.2,,,
2013-06-16,,7.76,20.3,
2013-06-16,1.5,,,2
2013-07-05,1.5,,,1
2013-07-21,1.5,5.75,16.2,4
2013-09-05,3,,,1
2014-05-24,,,23.2,
2014-05-24,1.8,,,2
2014-06-21,,9.92,15.2,
2014-06-21,1.4,,,2
2014-07-09,1.5,,,1
2014-07-20,1.5,,,1
2014-07-23,,29.2,24,
2014-08-17,,11.2,17,
2015-05-16,,,23.1,
2015-05-16,2,,,1
2015-06-14,1.6,,,2
2015-06-27,1.8,4.55,24.1,2
2015-07-11,1.8,,,1
2015-07-19,,9.41,29.3,
2015-07-19,1.2,,,5
2015-08-22,1.8,,,1
2015-08-27,,11.2,24.3,
2016-05-05,1.4,,30.5,1
2016-05-15,1.5,,,3
2016-06-18,1.8,,,1
2016-06-30,1.1,20.7,31,5
2016-07-10,1.5,,,1
2016-07-24,1.4,17.2,23.1,2
2016-08-25,1.4,17.3,24.1,5
2017-05-25,1.1,,,2
2017-05-29,,,55.7,
2017-06-17,1.8,,,1
2017-06-26,1.8,17.2,28.6,1
2017-07-10,1.5,,,1
2017-07-27,,10.4,30.4,
2017-07-27,1.5,,,2
2017-08-07,0.9,,,1
2017-08-20,1.5,21.1,17.6,1
2018-05-19,1.5,,24.8,1
2018-05-27,1.8,,,2
2018-06-14,2.4,,,2
2018-06-23,3.2,,,2
2018-06-23,2.1,,,2
2018-06-24,,5.9,21,
2018-07-17,1.5,,,1
2018-07-22,1.5,10.6,25.7,5
2018-08-07,1.5,,,2
2018-08-19,2.4,5.89,17.4,2
2019-05-26,1.5,,,2
2019-05-27,,,18.9,
2019-06-25,,10.2,18,
2019-06-25,2,,,1
2019-07-07,1.5,,,2
2019-07-28,2.2,7.75,18,1
2019-08-04,2.1,,,1
2019-09-02,1.8,9.72,24,2
2020-05-23,1.8,,,2
2020-06-28,2.4,3.61,16.6,1
2020-07-05,2.1,,,3
2020-07-24,1.8,,,5
2020-07-25,,9.21,19.5,
2020-08-08,1.8,,,4
2020-08-29,2.1,11.9,22.6,3
