date,secchi_m,chla,TP,Perception
2006-05-26,6.4,,,2
2006-06-17,6.1,,,2
2006-07-27,5.8,,,2
2006-08-20,5.8,,,2
2006-09-02,5.8,,,2
2006-10-01,5.8,,,2
2007-05-28,6.2,,,2
2007-06-23,6.2,,,2
2007-06-30,6.2,,,2
2007-08-02,5.6,,,2
2007-09-03,6,,,2
2007-10-15,5.6,,,2
2009-07-31,3.7,,,2
2009-08-10,3.9,,,2
2009-08-27,3.8,,,2
2009-09-04,3.9,,,2
2009-09-14,4,,,2
2009-09-23,4,,,2
2010-06-25,3.8,,,2
2010-07-17,4,,,2
2010-10-21,3,,,2
2011-05-20,3.5,,,1
2011-05-30,4.3,,,1
2011-08-03,3.5,,,1
2011-08-18,3.3,,,1
2012-07-29,4,,,1
2013-07-31,5.2,,,1
2013-08-28,3,,,1
2013-09-11,3,,,1
2016-07-06,5.8,,,2
2016-09-02,6.1,,,1
2017-07-29,4.6,,,1
2017-09-23,4.3,,,1
2018-07-16,5.8,,,1
2018-09-13,6.4,,,1
2019-07-25,6.1,,,2
2020-06-04,5.8,,,1
2020-07-01,3.6,,,1
