pureza,reboiler,x1,x2,x3,x4,x5
-0.951269809,48.6260562312,0.2684424752877784,3.3903013081156086,3,3,33
-0.374979867,227.90011119552,2.153410475608532,3.2666768318813983,1,7,21
-0.336143754,596.2842611532,2.2227824312530746,8.408205087604006,1,44,58
-0.0001,1000.0,1.1861663446573514,0.6955526958101232,2,47,40
-0.0001,1000.0,2.857071488588757,9.714143595538946,2,51,28
-0.0001,1000.0,1.8361096041714062,2.5172215514436234,3,55,37
-0.0001,1000.0,0.5524540572830658,2.2273371884674558,3,52,23
-0.0001,1000.0,0.5523841089749877,2.2423428436076214,3,57,44
-0.0001,1000.0,2.611910822747312,5.48518610050626,2,37,28
-0.0001,1000.0,1.8432335340553057,4.603477677100099,1,51,45
-0.951269809,48.6260562312,0.2684424752877784,3.3903013081156086,3,3,33
-0.951637696,58.15786871844,0.42908807052803166,3.651738386067292,3,3,31
-0.374979867,227.90011119552,2.153410475608532,3.2666768318813983,1,7,21
-0.332751162,310.75613208360005,2.116804625144342,4.481055702531038,1,7,21
-0.341152735,510.9040754856,2.131830875218482,7.335976780702397,1,44,58
-0.336143754,596.2842611532,2.2227824312530746,8.408205087604006,1,44,58
-0.219642783,636.12815688,1.7293321659413865,9.920439554041153,1,7,21
-0.0001,1000.0,1.1861663446573514,0.6955526958101232,2,47,40
-0.0001,1000.0,0.5523841089749877,2.2423428436076214,3,57,44
-0.0001,1000.0,1.8361096041714062,2.5172215514436234,3,55,37
-0.951269809,48.6260562312,0.2684424752877784,3.3903013081156086,3,3,33
-0.951637696,58.15786871844,0.42908807052803166,3.651738386067292,3,3,31
-0.952378155,68.69262412152001,0.41779687149410305,4.15891301348479,3,6,30
-0.941861657,50.51704789728,0.34484782126759633,3.3903013081156086,3,2,37
-0.374979867,227.90011119552,2.153410475608532,3.2666768318813983,1,7,21
-0.374698493,228.33628992612,2.1528223952056558,3.273277098616126,1,7,21
-0.332751162,310.75613208360005,2.116804625144342,4.481055702531038,1,7,21
-0.341152735,510.9040754856,2.131830875218482,7.335976780702397,1,44,58
-0.337074204,507.9499154604,2.10263684327172,7.335976780702397,1,44,58
-0.326526179,326.17014150132,2.117392705547219,4.70203793413677,1,7,21
-0.95237847,68.69262328415999,0.41779687149410305,4.15891301348479,3,7,21
-0.952376511,64.45064084148,0.42908807052803166,3.944649252358944,3,6,29
-0.952362705,48.623020382520004,0.2684424752877784,3.3903013081156086,3,7,33
-0.952378155,68.69262412152001,0.41779687149410305,4.15891301348479,3,6,30
-0.951269809,48.6260562312,0.2684424752877784,3.3903013081156086,3,3,33
-0.951637696,58.15786871844,0.42908807052803166,3.651738386067292,3,3,31
-0.951711936,60.504407670599996,0.4857534051487844,3.6887254213707,3,3,33
-0.941861657,50.51704789728,0.34484782126759633,3.3903013081156086,3,2,37
-0.941456219,50.00641613964,0.26729944385458065,3.4598274025593305,3,2,37
-0.607212968,242.38720747332,2.1528223952056558,3.474479480677198,1,6,29
-0.95237847,68.69262328415999,0.41779687149410305,4.15891301348479,3,7,21
-0.952376511,64.45064084148,0.42908807052803166,3.944649252358944,3,6,29
-0.952362705,48.623020382520004,0.2684424752877784,3.3903013081156086,3,7,33
-0.952366204,51.875039408039996,0.32636094178281155,3.480319099076277,3,6,33
-0.951164348,36.223516636308,0.2684424752877784,2.7659698243281676,3,3,31
-0.952363185,48.87330603048,0.27115068751514926,3.3995670223306824,3,7,21
-0.952378155,68.69262412152001,0.41779687149410305,4.15891301348479,3,6,30
-0.951269809,48.6260562312,0.2684424752877784,3.3903013081156086,3,3,33
-0.952362796,54.9922175154,0.2957791414908972,3.67344748361148,3,5,37
-0.952305845,53.690256693,0.403082320137889,3.474479480677198,3,4,21
-0.952379204,73.74363909408001,0.3230341435668863,4.555476623808569,3,6,33
-0.951164348,36.223516636308,0.2684424752877784,2.7659698243281676,3,3,31
-0.952311272,39.925113827147996,0.27078415226604224,2.9501101586884753,3,7,33
-0.952366946,54.70759131516,0.4311486756759551,3.4888831268907463,3,6,30
-0.952362705,48.623020382520004,0.2684424752877784,3.3903013081156086,3,7,33
-0.952376066,62.42641975656,0.3823461233223571,3.915001657523255,3,6,29
-0.95237847,68.69262328415999,0.41779687149410305,4.15891301348479,3,7,21
-0.952366204,51.875039408039996,0.32636094178281155,3.480319099076277,3,6,33
-0.9523777,65.39248452888,0.3892779712182702,4.045894374582719,3,7,21
-0.952363514,49.004208844560004,0.27115068751514926,3.4061472652834732,3,7,21
-0.952380058,74.63945142756,0.23231133222627928,4.769650164651366,3,7,21
-0.949561002,21.357942933204,0.33744233641474775,1.9829514957047676,3,7,30
-0.951164348,36.223516636308,0.2684424752877784,2.7659698243281676,3,3,31
-0.952311272,39.925113827147996,0.27078415226604224,2.9501101586884753,3,7,33
-0.952362705,48.623020382520004,0.2684424752877784,3.3903013081156086,3,7,33
-0.95237265,57.76618520484,0.3823461233223571,3.693281953967878,3,6,29
-0.95237847,68.69262328415999,0.41779687149410305,4.15891301348479,3,7,21
-0.952376066,62.42641975656,0.3823461233223571,3.915001657523255,3,6,29
-0.9523777,65.39248452888,0.3892779712182702,4.045894374582719,3,7,21
-0.952368827,53.56382286924,0.3489765566322116,3.534341619474103,3,7,33
-0.949561002,21.357942933204,0.33744233641474775,1.9829514957047676,3,7,30
-0.952380111,75.44091589776,0.23299101155633098,4.8094018811324135,3,7,21
-0.951435423,26.577085600512,0.3353752243753493,2.2378430209010274,3,7,30
-0.952199275,39.139482076092,0.41779687149410305,2.776465877989249,3,4,24
-0.952311272,39.925113827147996,0.27078415226604224,2.9501101586884753,3,7,33
-0.952316668,47.188934619120005,0.6073857962819333,2.9743120467863626,3,8,31
-0.95237847,68.69262328415999,0.41779687149410305,4.15891301348479,3,7,21
-0.95237265,57.76618520484,0.3823461233223571,3.693281953967878,3,6,29
-0.952376473,62.42641850052,0.3823461233223571,3.915001657523255,3,7,29
-0.952380058,74.63945142756,0.23231133222627928,4.769650164651366,3,7,21
-0.952380111,75.44091589776,0.23299101155633098,4.8094018811324135,3,7,21
-0.949561002,21.357942933204,0.33744233641474775,1.9829514957047676,3,7,30
-0.951435423,26.577085600512,0.3353752243753493,2.2378430209010274,3,7,30
-0.951026069,24.828834883644003,0.33744233641474775,2.1515819934570173,3,7,29
-0.952199275,39.139482076092,0.41779687149410305,2.776465877989249,3,4,24
-0.952376473,62.42641850052,0.3823461233223571,3.915001657523255,3,7,29
-0.952311272,39.925113827147996,0.27078415226604224,2.9501101586884753,3,7,33
-0.951140903,25.236356014944,0.3353752243753493,2.172600272225562,3,7,30
-0.952364411,52.07874816204,0.3823461233223571,3.422693777753333,3,7,30
-0.95237847,68.69262328415999,0.41779687149410305,4.15891301348479,3,7,21
-0.952380111,75.44091589776,0.23299101155633098,4.8094018811324135,3,7,21
-0.949561002,21.357942933204,0.33744233641474775,1.9829514957047676,3,7,30
-0.950756461,23.928566999472,0.3353752243753493,2.108977745498269,3,7,30
-0.951435423,26.577085600512,0.3353752243753493,2.2378430209010274,3,7,30
-0.949561033,22.137270493896,0.4145118051706162,1.9829514957047676,3,7,34
-0.952364411,52.07874816204,0.3823461233223571,3.422693777753333,3,7,30
-0.952094286,33.156304093224,0.35478250613956847,2.5431252874789982,3,7,29
-0.952311272,39.925113827147996,0.27078415226604224,2.9501101586884753,3,7,32
