date,secchi_m,chla,TP,Perception
1973-08-07,,,10,
1973-10-23,,,20,
1974-03-12,,,30,
1974-05-09,,,20,
1974-08-07,,,20,
1974-10-16,,,140,
1975-03-12,,,0,
1992-07-09,3,,,1
1992-07-24,4.9,,,1
1992-08-03,4.6,,,1
1992-08-28,4.6,,,1
1993-06-04,4,,,1
1993-06-10,4.9,,,1
1993-06-21,4.3,,,1
1993-06-30,4,,,1
1993-07-12,3.3,,,1
1993-07-30,4.2,,,1
1993-08-07,4.4,,,1
1993-08-21,4.6,,,1
1993-09-24,4.3,,,1
1994-06-19,5.5,,,1
1994-06-25,5.2,,,
1994-07-13,4.7,,,
1994-07-29,5.2,,,1
1994-08-16,4.8,,,1
1995-06-17,4.7,,,1
1995-07-04,3.2,,,1
1995-07-05,4.7,,,1
1995-07-30,4.6,,,1
1995-08-06,4.6,,,1
1995-10-10,4.9,,,1
1996-06-15,4.6,,,
1996-07-03,4.7,,,
1996-08-05,4.6,,,
1996-08-22,4.1,,,
1997-06-15,4.6,,,
1997-07-09,4.7,,,
1997-07-25,4.9,,,
1997-08-28,5.6,,,
1998-07-03,4.7,,,1
1998-08-05,4.6,,,1
1998-08-22,4.1,,,1
1998-09-15,4.3,,,1
2016-05-10,2.2,7.78,19.5,
2016-06-22,2.6,1.23,15.7,
2016-07-27,2.7,2.16,14.4,
2016-08-18,3.1,0.908,14,
2016-10-24,1.9,7.74,18.1,
2017-02-21,2.9,,16.2,
2019-09-04,4.4,,,2
2019-09-11,3.8,,,2
2019-09-18,4.3,,,1
2020-06-09,3.8,,,2
2020-06-16,3.8,,,2
2020-06-24,4,,,1
2020-07-06,4.3,,,
2020-07-13,4,,,
2020-07-21,3.8,,,
2020-07-29,4,,,
2020-08-04,3.8,,,
2020-08-11,3.8,,,
2020-08-18,4,,,
2020-08-26,3.8,,,
