date,secchi_m,chla,TP,Perception
1977-03-09,,,60,
1977-06-06,4,,,
1977-08-29,3.25,,,
1978-04-20,,,100,
1997-06-12,,4.16,34,
1997-07-15,,4.68,22,
1997-08-11,,11.3,17,
1998-02-03,,,38,
1998-04-14,,50.6,134,
2003-05-04,2.4,,,2
2003-05-10,2.9,,,1
2003-05-31,4.3,,,1
2003-06-08,4,,,1
2003-06-29,3.5,,,
2003-07-13,3.6,,,
2003-08-13,3.6,,,
2003-08-24,3.5,,,
2003-10-12,3.3,,,
2012-08-19,,13.5,22,
2012-09-15,,14.9,29,
2013-04-26,,,74.8,
2013-07-07,,18.3,29.8,
2013-08-05,,9.37,19.7,
2013-09-05,,7.36,23.3,
2014-04-21,,,89.5,
2014-06-29,0.9,,,3
2014-08-08,2.6,,,2
2014-08-25,2.3,9.26,25,
2015-04-02,1.2,,113,
2015-06-21,,50.4,59.4,
2015-06-21,0.5,,,5
2015-07-28,,15.2,27.5,
2015-07-28,2.1,,,3
2015-09-14,,19.8,28.9,
2015-09-14,1.5,,,3
2016-06-30,,,31.3,
2016-06-30,2.1,,,3
2016-09-01,,,31.4,
2016-09-01,2,,,2
2017-07-15,,5.59,65.1,
2017-07-15,2.7,,,2
2017-07-30,2,,,
2017-08-15,,30.3,54.7,
2017-08-15,1.5,,,
2017-09-13,,43.9,62,
2018-07-12,1.8,,,
2018-08-02,1.7,,,
2018-08-31,2,,,
2019-04-14,,,83.7,
2019-06-30,,32.4,58.1,
2019-07-01,2.4,,,2
2019-07-29,2,,,4
2019-07-30,,10.5,41.3,
2019-08-30,2.3,,,3
2019-08-31,,16.8,37.4,
2020-06-21,,7.27,98.3,
2020-06-21,2.1,,,2
2020-07-27,2.1,23,86.3,2
2020-08-31,3,,,2
2020-09-01,,6.6,61.1,
