date,secchi_m,chla,TP,Perception
1973-07-26,,,70,
1973-11-29,,,30,
1974-04-25,4.9,,10,
1974-08-29,,,40,
1974-10-30,,,60,
1975-03-17,,,20,
1988-07-21,3.7,5,9,
1988-08-30,2.8,7,12,
1997-06-12,,1.5,8,
1997-07-15,,2.26,8,
1997-08-13,,4.85,0,
1998-02-10,,,ND*,
1998-04-14,,4.99,8,
1999-06-26,4.5,,,3
1999-07-17,3.9,,,3
1999-08-07,3,,,3
1999-08-15,3,,,3
1999-08-29,2.6,,,3
1999-10-10,2.7,,,3
2000-07-23,3.6,,,3
2001-07-28,4,,,3
2001-09-01,3.2,,,3
2002-07-13,2.6,,,3
2002-08-03,2.7,,,3
2003-07-26,3.6,,,2
2003-09-01,3.2,,,3
2004-06-26,7,,,2
2004-07-18,4.4,,,2
2010-04-27,2.7,,,1
2010-10-16,2.1,,,1
